frame,A_x,A_y,A_r,H_x,H_y,H_r,M_x,M_y,M_r,R_x,R_y,R_r
131,1221,679,8,813,676,7,503,803,9,,,
132,1227,663,7,848,659,8,515,801,8,892,483,6
133,1235,650,8,853,639,6,522,800,9,481,510,6
134,1243,640,9,844,624,10,523,801,8,251,524,6
135,1252,631,8,825,606,8,522,801,8,149,528,5
136,1262,625,9,805,596,11,520,800,6,127,527,5
137,1271,622,9,785,591,10,517,801,9,153,524,6
138,1280,622,9,768,585,12,514,800,5,199,518,6
139,1289,621,9,754,582,10,514,802,9,251,515,5
140,1297,622,9,744,576,7,513,803,9,298,512,5
141,1305,625,8,736,576,12,513,803,8,,,
142,1314,628,9,730,580,9,493,805,9,335,512,5
143,1322,633,8,726,580,10,481,807,9,363,513,6
144,1331,639,9,722,586,11,475,807,9,382,518,5
145,1340,645,8,719,591,13,473,808,9,393,522,5
146,1348,654,8,717,598,12,472,808,8,399,526,6
147,1356,663,8,714,608,10,495,803,7,,,
148,1364,674,7,711,617,13,490,804,9,398,537,5
149,1372,685,8,,,,507,802,10,395,547,6
150,1380,697,7,,,,496,804,9,392,557,6
151,1389,715,10,,,,510,803,8,388,565,4
152,1398,732,10,,,,497,803,6,384,575,5
153,1408,749,10,,,,513,801,9,380,580,4
154,1416,767,10,700,668,10,523,801,9,375,577,5
155,1423,784,10,691,708,9,507,802,7,370,570,5
156,1432,784,9,685,745,13,496,802,6,366,561,6
157,1441,775,9,679,781,12,511,800,6,361,552,5
158,1450,758,8,676,795,13,522,797,6,357,544,5
159,1461,740,9,673,796,13,528,799,10,353,535,4
160,1470,725,9,669,785,13,531,800,9,,,
161,1481,711,8,663,762,4,517,798,5,1052,471,4
162,1491,700,8,662,741,13,508,796,4,1493,432,4
163,1501,692,9,661,724,12,504,795,4,1738,412,4
164,1511,685,9,661,704,12,503,794,4,1847,403,4
165,1522,682,9,658,690,13,502,793,6,1868,403,4
166,1532,679,10,655,682,13,504,791,4,1838,407,4
167,1542,679,10,,,,516,796,9,1785,412,4
168,1552,681,9,,,,519,795,6,1727,418,4
169,1562,683,10,,,,521,798,7,1673,423,4
170,1572,689,10,641,681,6,527,800,10,1628,427,4
171,1581,695,10,,,,555,767,6,1594,431,4
172,1591,702,8,631,683,12,572,746,5,1570,433,4
173,1601,710,8,625,684,13,,,,1554,434,4
174,1609,721,10,618,693,11,559,766,6,1545,435,4
175,1618,732,9,614,699,10,550,779,6,,,
176,1627,745,8,609,713,12,547,786,6,811,505,5
177,1636,758,10,604,735,5,546,792,8,350,551,5
178,1640,766,10,606,751,8,546,796,7,95,577,5
179,1640,769,10,,,,545,799,7,-15,591,5
180,1638,770,10,593,785,6,535,801,9,-35,596,5
181,1634,773,9,,,,539,800,5,-3,598,6
182,1639,778,9,589,804,5,533,798,5,51,595,6
183,1641,783,9,600,813,5,530,798,8,,,
184,1642,785,7,,,,538,797,8,847,512,4
185,1633,786,6,480,768,5,537,795,6,1365,457,4
186,1636,784,7,,,,540,793,7,1668,424,4
187,1637,778,8,,,,,,,1817,408,4
188,1637,771,8,405,737,5,666,804,4,1863,403,4
189,1635,763,9,,,,,,,1848,404,4
190,1633,755,9,,,,894,708,5,1802,409,4
191,1632,749,8,512,765,5,1032,647,6,1745,414,4
