frame,A_x,A_y,A_r,A_score,A_x_smooth,A_y_smooth,M_x,M_y,M_r,M_score,M_x_smooth,M_y_smooth,H_x,H_y,H_r,H_score,H_x_smooth,H_y_smooth,R_x,R_y,R_r,R_score,R_x_smooth,R_y_smooth,X,Y,Z,speed,goal_flag,goal_confidence
352,556,348,4,,1258.8562,619.2203,850,409,8,,751.5607,677.4792,1281,237,5,,766.0637,624.3572,,,,,,,0.5246,0.1821,0.0000,0.8107,0,
353,,,,,,,856,408,8,,751.8800,676.6553,,,,,,,1262,365,4,,1068.0599,454.3831,-0.5003,0.7448,0.0000,,0,
354,,,,,,,863,408,7,,752.2187,675.8363,1264,235,4,,768.0630,622.7938,1521,417,4,,1069.5255,454.2621,-1.9986,-0.0932,0.0000,,0,
355,553,339,4,,1256.1314,618.1386,869,409,7,,752.5736,675.0254,,,,,,,1664,447,4,,1071.4428,454.2387,0.4435,-0.0658,0.0000,,0,
356,551,336,4,,1253.4199,617.0536,875,411,8,,752.9446,674.2254,1057,526,7,,769.2186,622.4067,1726,461,4,,1073.5472,454.2604,0.5132,0.2027,0.0000,16.6445,0,
357,549,336,5,,1250.7215,615.9770,881,413,8,,753.3314,673.4363,,,,,,,1738,466,4,,1075.6765,454.2980,0.4203,-0.0471,0.0000,15.9895,0,
358,549,338,5,,1248.0437,614.9162,887,416,8,,753.7339,672.6610,863,525,17,,769.5921,622.0187,1720,464,4,,1077.7347,454.3290,0.4882,0.2153,0.0000,16.2623,0,
359,547,340,4,,1245.3786,613.8711,892,420,8,,754.1491,671.9024,748,518,17,,769.5064,621.6060,1689,460,4,,1079.6811,454.3471,0.4744,0.2226,0.0000,0.9340,0,
360,548,344,6,,1242.7375,612.8491,898,425,8,,754.5797,671.1633,689,507,17,,769.1883,621.1531,1654,454,4,,1081.5040,454.3460,0.4596,0.2300,0.0000,0.9919,0,
361,,,,,,,904,430,8,,755.0257,670.4435,670,497,17,,768.7979,620.6644,1622,448,4,,1083.2142,454.3259,-1.9809,-0.0555,0.0000,,0,
362,546,350,6,,1240.1088,611.8574,911,438,5,,755.4898,669.7518,673,487,17,,768.4223,620.1404,1596,444,4,,1084.8316,454.2933,0.4427,0.2400,0.0000,,0,
363,545,354,5,,1237.4961,610.8882,917,446,6,,755.9690,669.0880,688,479,17,,768.1082,619.5891,1575,440,4,,1086.3727,454.2484,0.4280,0.2476,0.0000,0.9895,0,
364,544,360,5,,1234.8993,609.9487,922,453,6,,756.4601,668.4488,708,474,17,,767.8743,619.0228,1561,437,4,,1087.8604,454.1943,0.4139,0.2551,0.0000,0.9619,0,
365,543,367,6,,1232.3180,609.0423,928,463,6,,756.9661,667.8428,728,470,17,,767.7198,618.4453,1552,435,4,,1089.3106,454.1344,0.4002,0.2626,0.0000,0.9337,0,
366,543,376,5,,1229.7560,608.1762,934,472,6,,757.4867,667.2669,745,468,17,,767.6321,617.8645,1547,434,4,,1090.7362,454.0716,0.3869,0.2698,0.0000,0.9057,0,
367,542,384,4,,1227.2092,607.3460,940,483,6,,758.0218,666.7266,759,466,17,,767.5989,617.2805,,,,,,,0.3740,0.2769,0.0000,0.8827,0,
368,542,394,4,,1224.6812,606.5589,946,494,7,,758.5714,666.2216,769,466,17,,767.6043,616.7010,1143,390,8,,1090.8985,453.8727,0.3614,0.2837,0.0000,0.8607,0,
369,,,,,,,951,505,6,,759.1323,665.7516,776,466,17,,767.6363,616.1259,891,370,8,,1090.2797,453.6131,-1.9662,-0.0094,0.0000,,0,
370,540,406,4,,1222.1645,605.8217,955,518,5,,759.7016,665.3222,,,,,,,752,366,8,,1089.2358,453.3427,0.3093,0.0443,0.0000,,0,
371,539,420,5,,1219.6625,605.1412,960,533,8,,760.2821,664.9387,780,466,17,,767.6833,615.5552,694,376,9,,1088.0198,453.1048,0.3367,0.2965,0.0000,15.2233,0,
372,537,433,5,,1217.1715,604.5130,966,549,8,,760.8766,664.6037,782,466,17,,767.7375,614.9888,686,392,9,,1086.7868,452.9173,0.3245,0.3025,0.0000,0.8142,0,
373,536,446,4,,1214.6950,603.9367,971,565,8,,761.4821,664.3167,,,,,,,706,415,6,,1085.6225,452.8014,0.2809,0.0587,0.0000,14.8582,0,
374,535,462,5,,1212.2327,603.4226,974,579,5,,762.0927,664.0715,868,581,4,,768.1158,614.8606,739,437,6,,1084.5659,452.7532,0.3017,0.3086,0.0000,15.0432,0,
375,534,478,5,,1209.7847,602.9699,978,594,6,,762.7112,663.8708,,,,,,,776,459,6,,1083.6282,452.7722,0.2625,0.0658,0.0000,14.7565,0,
376,,,,,,,982,613,9,,763.3377,663.7255,954,697,4,,768.8145,615.1693,809,481,5,,1082.7961,452.8577,-1.9392,0.0055,0.0000,,0,
377,1073,583,4,,1209.2928,602.8980,987,631,11,,763.9748,663.6322,1005,763,8,,769.6989,615.7229,836,502,4,,1082.0506,453.0062,0.2950,0.3069,0.0000,,0,
378,1413,647,4,,1210.0228,603.0561,994,650,9,,764.6282,663.5935,1033,792,11,,770.6812,616.3805,,,,,,,0.3035,0.3028,0.0000,0.5690,0,
379,1602,679,4,,1211.4224,603.3273,999,653,7,,765.2920,663.5635,1046,798,10,,771.7045,617.0556,1250,477,4,,1082.5564,453.0785,0.3156,0.2981,0.0000,0.7803,0,
380,1685,691,4,,1213.1075,603.6392,1003,639,10,,765.9634,663.4941,1051,790,9,,772.7388,617.6960,1512,459,4,,1083.8458,453.0962,0.3292,0.2933,0.0000,0.8644,0,
381,1700,691,4,,1214.8337,603.9489,1004,619,4,,766.6339,663.3688,1052,778,6,,773.7690,618.2874,1657,445,4,,1085.5616,453.0720,0.3430,0.2888,0.0000,0.8700,0,
382,1677,683,4,,1216.4665,604.2282,1006,590,9,,767.3061,663.1628,,,,,,,1722,437,4,,1087.4611,453.0240,0.3189,0.0630,0.0000,13.6237,0,
383,1636,673,4,,1217.9435,604.4703,1010,560,9,,767.9859,662.8738,1073,623,5,,774.8690,618.3047,1736,432,4,,1089.3910,452.9615,0.3641,0.2861,0.0000,13.6568,0,
384,1590,663,4,,1219.2487,604.6757,1013,535,6,,768.6702,662.5167,,,,,,,1719,430,4,,1091.2590,452.8933,0.3396,0.0640,0.0000,13.4058,0,
385,1549,654,4,,1220.4015,604.8481,1017,510,6,,769.3618,662.0919,1006,625,4,,775.7154,618.3292,1688,429,4,,1093.0243,452.8227,0.3806,0.2841,0.0000,13.4316,0,
386,1515,647,4,,1221.4278,604.9949,1020,488,6,,770.0579,661.6084,959,631,4,,776.3842,618.3755,1654,429,4,,1094.6788,452.7524,0.3891,0.2831,0.0000,0.5118,0,
387,,,,,,,1022,469,6,,770.7557,661.0749,929,638,4,,776.9391,618.4468,1622,430,4,,1096.2295,452.6855,-1.8615,0.0024,0.0000,,0,
388,938,516,5,,1220.4438,604.6860,1026,451,6,,771.4607,660.4947,912,644,4,,777.4284,618.5394,1596,431,4,,1097.6949,452.6219,0.3894,0.2839,0.0000,,0,
389,573,426,5,,1218.2039,604.0678,1029,436,6,,772.1701,659.8763,905,649,4,,777.8888,618.6493,1576,432,4,,1099.0933,452.5616,0.3805,0.2864,0.0000,0.5552,0,
390,367,367,5,,1215.2693,603.2505,1032,422,7,,772.8838,659.2229,903,654,4,,778.3388,618.7765,1562,433,4,,1100.4426,452.5046,0.3680,0.2899,0.0000,0.7736,0,
391,273,331,4,,1212.0318,602.3151,1035,411,7,,773.6018,658.5429,905,658,4,,778.7927,618.9170,1552,434,4,,1101.7551,452.4508,0.3541,0.2938,0.0000,0.8685,0,
392,254,309,7,,1208.7514,601.3107,1038,401,6,,774.3241,657.8394,908,660,4,,779.2541,619.0637,1547,434,4,,1103.0455,452.3973,0.3400,0.2981,0.0000,0.8840,0,
393,277,297,4,,1205.5719,600.2723,1042,392,6,,775.0534,657.1151,912,661,4,,779.7264,619.2130,,,,,,,0.3265,0.3026,0.0000,0.8548,0,
394,317,290,7,,1202.5501,599.2171,1045,384,6,,775.7868,656.3730,915,662,4,,780.2060,619.3647,1544,434,4,,1104.3198,452.3442,0.3138,0.3071,0.0000,0.8094,0,
395,363,287,7,,1199.7046,598.1590,1048,377,7,,776.5245,655.6160,918,662,4,,780.6928,619.5153,1544,435,4,,1105.5867,452.2942,0.3020,0.3116,0.0000,0.7582,0,
396,404,286,7,,1197.0169,597.1045,1052,371,7,,777.2689,654.8469,,,,,,,1544,435,4,,1106.8463,452.2445,0.2714,0.1402,0.0000,10.4453,0,
397,437,283,5,,1194.4583,596.0471,1054,367,6,,778.0147,654.0711,836,548,17,,780.8875,619.2635,1545,435,4,,1108.1016,452.1951,0.2767,0.3234,0.0000,10.9968,0,
398,463,281,5,,1192.0042,594.9901,1056,363,6,,778.7619,653.2888,784,477,17,,780.8984,618.7644,1546,435,4,,1109.3525,452.1460,0.2645,0.3312,0.0000,0.8690,0,
399,481,281,5,,1189.6267,593.9401,1058,360,5,,779.5104,652.5026,756,437,17,,780.8114,618.1290,1547,435,4,,1110.5992,452.0971,0.2522,0.3397,0.0000,0.8957,0,
400,,,,,,,1062,357,8,,780.2656,651.7126,743,419,17,,780.6797,617.4353,1548,435,4,,1111.8416,452.0486,-1.7953,0.0543,0.0000,,0,
401,,,,,,,1065,355,8,,781.0248,650.9215,741,416,17,,780.5419,616.7360,1549,435,4,,1113.0799,452.0003,-1.7922,0.0617,0.0000,0.4844,0,
402,,,,,,,1070,354,7,,781.7932,650.1319,745,421,17,,780.4190,616.0588,1548,435,4,,1114.3083,451.9523,-1.7889,0.0690,0.0000,0.4808,0,
403,,,,,,,1074,355,7,,782.5682,649.3492,752,429,17,,780.3210,615.4139,1549,435,4,,1115.5326,451.9045,-1.7856,0.0762,0.0000,0.4740,0,
404,,,,,,,1078,356,7,,783.3497,648.5732,759,439,17,,780.2477,614.8078,1549,435,4,,1116.7500,451.8570,-1.7820,0.0831,0.0000,0.4659,0,
405,,,,,,,1081,358,7,,784.1349,647.8066,765,447,17,,780.1955,614.2332,1550,435,4,,1117.9635,451.8098,-1.7783,0.0898,0.0000,0.4585,0,
406,,,,,,,1083,361,8,,784.9213,647.0520,770,455,17,,780.1607,613.6898,1550,434,4,,1119.1701,451.7601,-1.7746,0.0963,0.0000,0.4500,0,
407,,,,,,,1085,365,8,,785.7088,646.3118,774,460,17,,780.1398,613.1671,1550,434,5,,1120.3700,451.7106,-1.7708,0.1026,0.0000,0.4432,0,
408,,,,,,,1087,369,7,,786.4974,645.5859,777,464,17,,780.1291,612.6616,,,,,,,-1.7669,0.1088,0.0000,0.4370,0,
409,,,,,,,1090,376,8,,787.2898,644.8821,779,467,17,,780.1253,612.1696,1550,434,5,,1121.5633,451.6614,-1.7629,0.1147,0.0000,0.4297,0,
410,,,,,,,1092,382,6,,788.0832,644.1976,780,468,17,,780.1249,611.6842,1550,434,4,,1122.7499,451.6125,-1.7590,0.1206,0.0000,0.4240,0,
411,,,,,,,1095,389,6,,788.8803,643.5349,,,,,,,1550,434,4,,1123.9300,451.5639,-0.0359,0.9245,0.0000,,0,
412,,,,,,,1098,397,6,,789.6810,642.8963,984,605,12,,780.8089,611.6618,1550,434,4,,1125.1036,451.5155,-1.7476,0.1272,0.0000,,0,
413,484,283,5,,1187.2750,592.9038,1101,406,6,,790.4853,642.2842,1117,691,10,,781.9331,611.9271,1550,434,4,,1126.2707,451.4674,0.2460,0.3758,0.0000,,0,
414,485,291,4,,1184.9422,591.9010,1104,416,6,,791.2933,641.7011,,,,,,,1550,434,4,,1127.4314,451.4195,0.2812,0.2320,0.0000,8.8851,0,
415,483,300,6,,1182.6183,590.9346,1106,427,6,,792.1022,641.1492,983,602,17,,782.6032,611.8940,1550,434,4,,1128.5858,451.3719,0.2261,0.3859,0.0000,9.8055,0,
416,479,311,5,,1180.2965,590.0109,1109,438,6,,792.9146,640.6284,884,537,17,,782.9400,611.6452,1550,434,4,,1129.7340,451.3246,0.2162,0.3917,0.0000,0.6916,0,
417,476,324,6,,1177.9801,589.1360,1111,451,6,,793.7280,640.1435,818,493,17,,783.0561,611.2524,1549,434,4,,1130.8731,451.2775,0.2052,0.3981,0.0000,0.7618,0,
418,473,338,5,,1175.6691,588.3127,1113,463,7,,794.5424,639.6916,777,466,17,,783.0361,610.7731,1549,434,4,,1132.0061,451.2307,0.1935,0.4046,0.0000,0.8011,0,
419,470,352,4,,1173.3633,587.5406,1115,477,7,,795.3577,639.2777,755,452,17,,782.9439,610.2509,1549,435,4,,1133.1330,451.1869,0.1815,0.4110,0.0000,0.8175,0,
420,467,368,5,,1171.0629,586.8256,1118,492,8,,796.1765,638.9039,747,446,17,,782.8261,609.7125,1549,435,4,,1134.2537,451.1432,0.1694,0.4173,0.0000,0.8171,0,
421,,,,,,,1120,504,7,,796.9962,638.5625,746,446,17,,782.7058,609.1776,1549,435,4,,1135.3685,451.0999,-1.7015,0.1613,0.0000,,0,
422,467,389,5,,1168.7773,586.1834,1123,521,8,,797.8193,638.2656,750,448,17,,782.5993,608.6527,1549,435,4,,1136.4773,451.0567,0.1569,0.4258,0.0000,,0,
423,465,409,5,,1166.5001,585.6101,1125,538,8,,798.6434,638.0131,756,452,17,,782.5129,608.1441,,,,,,,0.1451,0.4312,0.0000,0.7798,0,
424,464,431,5,,1164.2343,585.1114,1128,556,9,,799.4708,637.8071,762,456,17,,782.4465,607.6518,1187,422,8,,1136.6124,450.9790,0.1334,0.4362,0.0000,0.7602,0,
425,464,451,6,,1161.9831,584.6803,1130,570,6,,800.2991,637.6371,768,460,17,,782.3999,607.1756,959,423,7,,1136.1388,450.9044,0.1219,0.4407,0.0000,0.7411,0,
426,462,472,7,,1159.7399,584.3192,1132,573,7,,801.1282,637.4756,772,463,17,,782.3665,606.7121,822,421,9,,1135.3034,450.8249,0.1105,0.4448,0.0000,0.7264,0,
427,459,493,5,,1157.5015,584.0275,1131,566,6,,801.9508,637.2973,776,465,17,,782.3461,606.2580,747,415,9,,1134.2736,450.7299,0.0992,0.4486,0.0000,0.7136,0,
428,469,499,5,,1155.3092,583.7567,1131,555,6,,802.7692,637.0927,778,466,17,,782.3322,605.8099,718,409,4,,1133.1725,450.6195,0.0882,0.4522,0.0000,0.6961,0,
429,487,492,6,,1153.1879,583.4655,1131,543,7,,803.5836,636.8592,,,,,,,712,402,4,,1132.0613,450.4912,0.1839,0.2984,0.0000,10.8666,0,
430,510,482,6,,1151.1528,583.1444,1130,530,6,,804.3914,636.5947,861,432,4,,782.5827,605.2565,713,397,5,,1130.9587,450.3505,0.0687,0.4580,0.0000,11.8102,0,
431,535,472,4,,1149.2094,582.7939,1131,519,6,,805.1978,636.3044,908,411,5,,782.9808,604.6399,720,392,7,,1129.8802,450.1973,0.0610,0.4628,0.0000,0.5469,0,
432,564,459,6,,1147.3694,582.4047,1130,512,6,,805.9977,635.9983,930,396,6,,783.4460,603.9798,726,386,8,,1128.8231,450.0293,0.0541,0.4681,0.0000,0.5188,0,
433,592,450,4,,1145.6287,581.9897,1130,506,6,,806.7936,635.6789,933,383,6,,783.9177,603.2828,733,382,4,,1127.7897,449.8517,0.0477,0.4736,0.0000,0.5062,0,
434,,,,,,,1131,504,5,,807.5882,635.3562,925,375,6,,784.3613,602.5650,734,382,4,,1126.7644,449.6750,-1.6403,0.2104,0.0000,,0,
435,635,437,7,,1144.0333,581.5366,1131,503,6,,808.3788,635.0326,910,369,6,,784.7551,601.8329,731,381,4,,1125.7365,449.4967,0.0439,0.4832,0.0000,,0,
436,670,431,6,,1142.5568,581.0677,1132,503,6,,809.1680,634.7106,891,363,4,,785.0870,601.0867,721,383,5,,1124.6881,449.3244,0.0382,0.4892,0.0000,0.5008,0,
437,702,424,5,,1141.1888,580.5800,1133,504,5,,809.9558,634.3927,871,361,6,,785.3546,600.3389,709,385,6,,1123.6141,449.1582,0.0327,0.4954,0.0000,0.4963,0,
438,730,425,6,,1139.9160,580.0984,1134,508,5,,810.7423,634.0859,854,359,7,,785.5678,599.5895,696,388,7,,1122.5122,449.0006,0.0274,0.5016,0.0000,0.4873,0,
439,,,,,,,1134,512,4,,811.5249,633.7903,837,358,7,,785.7270,598.8417,686,390,4,,1121.3902,448.8490,-1.6137,0.2368,0.0000,,0,
440,771,430,5,,1138.7775,579.6352,1135,517,5,,812.3061,633.5083,821,359,7,,785.8358,598.1015,672,395,6,,1120.2380,448.7109,0.0231,0.5113,0.0000,,0,
441,804,435,6,,1137.7476,579.1903,1136,521,5,,813.0860,633.2372,803,360,5,,785.8886,597.3690,659,400,4,,1119.0586,448.5864,0.0182,0.5172,0.0000,0.4590,0,
442,831,444,7,,1136.8068,578.7756,1138,526,4,,813.8670,632.9794,789,362,7,,785.8982,596.6471,648,405,4,,1117.8570,448.4752,0.0135,0.5229,0.0000,0.4408,0,
443,859,451,7,,1135.9573,578.3850,1138,532,5,,814.6442,632.7373,776,366,7,,785.8679,595.9419,636,412,4,,1116.6311,448.3824,0.0091,0.5284,0.0000,0.4216,0,
444,883,462,8,,1135.1863,578.0302,1138,538,4,,815.4177,632.5107,765,369,6,,785.8043,595.2501,625,420,4,,1115.3835,448.3104,0.0050,0.5336,0.0000,0.4016,0,
445,910,471,5,,1134.5019,577.7049,,,,,,,751,376,7,,785.6985,594.5838,613,426,4,,1114.1118,448.2539,0.0010,0.5386,0.0000,0.3804,0,
446,933,485,8,,1133.8914,577.4240,1140,549,5,,816.1922,632.3114,738,384,5,,785.5540,593.9458,602,434,4,,1112.8187,448.2179,-0.0028,0.5432,0.0000,0.3568,0,
447,957,498,8,,1133.3570,577.1841,,,,,,,719,392,7,,785.3530,593.3357,589,443,6,,1111.4994,448.2048,-0.0064,0.5474,0.0000,0.3372,0,
448,980,516,8,,1132.8952,576.9998,1140,557,6,,816.9631,632.1321,705,399,5,,785.1110,592.7505,580,449,5,,1110.1642,448.2068,-0.0100,0.5512,0.0000,0.3128,0,
449,1008,530,7,,1132.5202,576.8587,1139,555,6,,817.7279,631.9489,692,409,7,,784.8314,592.1988,576,443,6,,1108.8256,448.1937,-0.0132,0.5547,0.0000,0.2859,0,
450,1031,542,6,,1132.2163,576.7544,1135,543,4,,818.4797,631.7382,678,421,5,,784.5116,591.6863,576,428,6,,1107.4937,448.1432,-0.0164,0.5578,0.0000,0.2632,0,
451,1037,532,7,,1131.9321,576.6208,1131,527,4,,819.2184,631.4906,660,437,8,,784.1400,591.2246,578,410,6,,1106.1734,448.0481,-0.0196,0.5608,0.0000,0.2657,0,
452,1032,507,8,,1131.6347,576.4136,1126,509,5,,819.9419,631.2017,642,457,4,,783.7170,590.8252,580,392,4,,1104.8647,447.9087,-0.0232,0.5638,0.0000,0.2825,0,
453,1021,477,10,,1131.3065,576.1187,1122,492,4,,820.6525,630.8743,,,,,,,584,375,5,,1103.5724,447.7278,0.1598,0.3650,0.0000,16.2125,0,
454,1007,446,11,,1130.9388,575.7338,1118,475,5,,821.3504,630.5084,634,453,5,,783.2728,590.4163,587,358,5,,1102.2939,447.5058,-0.0289,0.5692,0.0000,16.6844,0,
455,993,419,6,,1130.5319,575.2715,1114,461,4,,822.0357,630.1115,,,,,,,590,343,5,,1101.0291,447.2477,0.1628,0.3731,0.0000,16.4601,0,
456,979,393,6,,1130.0863,574.7355,1110,449,5,,822.7084,629.6884,326,415,4,,781.9201,589.8974,592,330,5,,1099.7755,446.9590,-0.0400,0.5768,0.0000,17.2488,0,
457,968,369,7,,1129.6111,574.1322,1106,439,5,,823.3687,629.2439,135,389,4,,780.0121,589.3048,594,317,6,,1098.5330,446.6397,-0.0519,0.5828,0.0000,0.7999,0,
458,959,347,7,,1129.1123,573.4682,1102,429,5,,824.0166,628.7783,32,374,4,,777.8124,588.6717,596,306,5,,1097.3014,446.2951,-0.0654,0.5893,0.0000,0.8982,0,
459,950,330,7,,1128.5901,572.7585,1099,422,5,,824.6546,628.2986,-9,365,4,,775.5054,588.0158,596,297,5,,1096.0759,445.9301,-0.0795,0.5961,0.0000,0.9425,0,
460,942,314,9,,1128.0478,572.0064,1095,414,5,,825.2803,627.8026,-14,362,4,,773.1972,587.3551,597,290,5,,1094.8588,445.5498,-0.0938,0.6032,0.0000,0.9544,0,
461,935,303,7,,1127.4883,571.2268,1091,409,5,,825.8939,627.2973,1,362,4,,770.9462,586.6981,,,,,,,-0.1078,0.6104,0.0000,0.9469,0,
462,929,293,7,,1126.9148,570.4228,1088,404,4,,826.4978,626.7829,27,363,4,,768.7839,586.0480,1100,367,5,,1094.8713,445.3587,-0.1215,0.6176,0.0000,0.9295,0,
463,924,284,7,,1126.3301,569.5975,1084,400,5,,827.0896,626.2616,54,365,4,,766.7124,585.4073,1416,417,5,,1095.6506,445.2899,-0.1348,0.6250,0.0000,0.9102,0,
464,,,,,,,1081,397,5,,827.6719,625.7358,79,367,4,,764.7250,584.7762,1591,447,5,,1096.8499,445.2940,-1.6380,0.3474,0.0000,,0,
465,,,,,,,1077,394,5,,828.2424,625.2056,99,370,4,,762.8068,584.1573,1668,462,5,,1098.2293,445.3344,-1.6448,0.3532,0.0000,0.5313,0,
466,,,,,,,1073,392,5,,828.8012,624.6732,115,371,4,,760.9456,583.5449,1682,467,5,,1099.6358,445.3866,-1.6513,0.3589,0.0000,0.5202,0,
467,,,,,,,1069,390,5,,829.3483,624.1387,125,373,4,,759.1236,582.9417,1660,466,5,,1100.9827,445.4361,-1.6576,0.3646,0.0000,0.5126,0,
468,,,,,,,1066,390,5,,829.8860,623.6066,132,374,4,,757.3321,582.3448,1622,462,5,,1102.2320,445.4758,-1.6639,0.3702,0.0000,0.5062,0,
469,,,,,,,1062,390,5,,830.4123,623.0770,136,374,4,,755.5622,581.7513,1579,457,5,,1103.3724,445.5034,-1.6701,0.3759,0.0000,0.5027,0,
470,,,,,,,1058,391,5,,830.9272,622.5520,,,,,,,1540,452,5,,1104.4144,445.5189,0.0767,1.0596,0.0000,,0,
471,,,,,,,1055,393,5,,831.4329,622.0339,138,375,4,,753.8080,581.1640,1508,447,5,,1105.3752,445.5224,-1.6738,0.3840,0.0000,,0,
472,,,,,,,1051,394,5,,831.9274,621.5203,138,375,4,,752.0637,580.5801,1483,444,5,,1106.2721,445.5188,-1.6800,0.3895,0.0000,0.4990,0,
473,,,,,,,1047,397,5,,832.4106,621.0158,138,375,4,,750.3293,579.9994,1466,441,5,,1107.1244,445.5081,-1.6863,0.3949,0.0000,0.4969,0,
474,,,,,,,1042,400,5,,832.8805,620.5203,137,375,4,,748.6019,579.4221,1455,439,5,,1107.9467,445.4927,-1.6926,0.4003,0.0000,0.4959,0,
475,,,,,,,1038,405,5,,833.3393,620.0383,136,375,4,,746.8813,578.8479,1448,438,5,,1108.7486,445.4751,-1.6989,0.4056,0.0000,0.4937,0,
476,,,,,,,1034,410,5,,833.7872,619.5695,135,375,4,,745.1676,578.2770,,,,,,,-1.7052,0.4108,0.0000,0.4914,0,
477,,,,,,,1031,416,6,,834.2264,619.1161,135,375,4,,743.4635,577.7093,1445,438,5,,1109.5397,445.4575,-1.7116,0.4159,0.0000,0.4877,0,
478,884,280,5,,1125.6338,568.7654,1028,422,5,,834.6569,618.6781,,,,,,,1444,438,5,,1110.3247,445.4400,0.2015,0.4628,0.0000,,0,
479,859,284,6,,1124.8699,567.9496,1024,429,5,,835.0767,618.2576,514,429,17,,742.8244,577.2951,1445,438,5,,1111.1084,445.4226,-0.2615,0.6738,0.0000,30.5276,0,
480,844,294,5,,1124.0676,567.1670,1020,437,5,,835.4858,617.8567,752,464,17,,742.8499,576.9804,1446,438,5,,1111.8908,445.4052,-0.2654,0.6793,0.0000,0.4033,0,
481,836,306,5,,1123.2470,566.4230,1016,445,5,,835.8842,617.4751,884,483,17,,743.2408,576.7201,1447,438,5,,1112.6718,445.3880,-0.2676,0.6843,0.0000,0.3277,0,
482,832,320,5,,1122.4197,565.7231,1012,455,5,,836.2721,617.1173,,,,,,,1448,438,5,,1113.4516,445.3708,0.1935,0.4858,0.0000,30.1160,0,
483,832,334,4,,1121.5971,565.0667,1008,465,5,,836.6495,616.7830,,,,,,,1450,438,5,,1114.2323,445.3537,0.1912,0.4908,0.0000,0.3258,0,
484,829,355,6,,1120.7707,564.4734,1004,476,4,,837.0164,616.4743,,,,,,,1450,438,5,,1115.0095,445.3367,0.1889,0.4953,0.0000,0.3037,0,
485,827,374,6,,1119.9432,563.9369,1001,487,5,,837.3752,616.1910,563,436,4,,742.7430,576.3314,1451,438,5,,1115.7854,445.3197,-0.2866,0.6987,0.0000,31.0308,0,
486,826,392,6,,1119.1177,563.4540,997,499,4,,837.7237,615.9352,334,403,4,,741.6171,575.8540,1451,439,5,,1116.5577,445.3051,-0.2963,0.7035,0.0000,0.6525,0,
487,824,409,6,,1118.2911,563.0214,994,511,4,,838.0642,615.7066,186,382,4,,740.0909,575.3215,1452,439,5,,1117.3287,445.2907,-0.3081,0.7083,0.0000,0.7629,0,
488,823,424,4,,1117.4664,562.6332,991,525,4,,838.3966,615.5094,99,369,4,,738.3347,574.7563,1452,439,5,,1118.0962,445.2762,-0.3210,0.7131,0.0000,0.8254,0,
489,821,442,7,,1116.6407,562.2972,987,541,6,,838.7189,615.3478,56,363,4,,736.4707,574.1778,1452,439,5,,1118.8602,445.2619,-0.3344,0.7176,0.0000,0.8523,0,
490,818,460,8,,1115.8113,562.0131,983,557,5,,839.0312,615.2215,43,362,4,,734.5814,573.5998,1452,440,5,,1119.6207,445.2499,-0.3480,0.7219,0.0000,0.8556,0,
491,815,480,6,,1114.9781,561.7859,980,574,5,,839.3356,615.1325,48,362,4,,732.7159,573.0249,,,,,,,-0.3615,0.7259,0.0000,0.8446,0,
492,812,500,5,,1114.1413,561.6152,976,591,5,,839.6301,615.0805,,,,,,,1509,437,4,,1120.5076,445.2311,0.1689,0.5165,0.0000,34.2142,0,
493,809,519,6,,1113.3008,561.4979,,,,,,,61,364,4,,730.8958,572.4585,1545,436,4,,1121.4722,445.2101,-0.3790,0.7302,0.0000,,0,
494,806,538,6,,1112.4567,561.4333,974,598,5,,839.9190,615.0438,77,366,4,,729.1288,571.9006,1565,435,4,,1122.4778,445.1869,-0.3921,0.7333,0.0000,0.8053,0,
495,803,552,5,,1111.6090,561.4075,974,596,5,,840.2067,615.0029,93,369,4,,727.4144,571.3537,1574,435,4,,1123.4993,445.1639,-0.4049,0.7362,0.0000,0.7876,0,
496,799,554,5,,1110.7550,561.3872,976,587,5,,840.4975,614.9429,107,371,4,,725.7468,570.8152,1576,435,4,,1124.5206,445.1410,-0.4175,0.7390,0.0000,0.7748,0,
497,795,547,4,,1109.8947,561.3480,,,,,,,118,372,4,,724.1177,570.2823,1573,435,4,,1125.5306,445.1181,-0.4299,0.7418,0.0000,0.7663,0,
498,789,533,4,,1109.0228,561.2710,686,656,8,,840.1674,615.0307,126,373,4,,722.5186,569.7548,1569,435,4,,1126.5270,445.0954,-0.4423,0.7449,0.0000,0.7632,0,
499,784,516,4,,1108.1421,561.1484,504,698,8,,839.4507,615.2075,131,374,4,,720.9415,569.2329,1564,434,4,,1127.5078,445.0705,-0.4546,0.7481,0.0000,0.7623,0,
500,778,500,5,,1107.2500,560.9831,404,719,9,,838.5243,615.4284,,,,,,,1559,435,4,,1128.4730,445.0480,0.1289,0.5179,0.0000,,0,
501,771,485,4,,1106.3438,560.7783,360,728,8,,837.5084,615.6673,134,375,4,,719.3807,568.7164,1556,435,4,,1129.4272,445.0256,-0.4714,0.7525,0.0000,,0,
502,765,472,4,,1105.4263,560.5397,352,729,8,,836.4799,615.9074,136,375,4,,717.8334,568.2026,1553,435,4,,1130.3704,445.0032,-0.4837,0.7563,0.0000,0.7731,0,
503,759,464,6,,1104.4977,560.2809,365,725,8,,835.4832,616.1380,136,375,4,,716.2944,567.6916,1551,434,4,,1131.3051,444.9788,-0.4960,0.7601,0.0000,0.7755,0,
